timestamp,name,packageName,isSystemApp,type,isUpdatedSystemApp
1556844622635,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_FOREGROUND,False
1556844623312,Google,com.google.android.googlequicksearchbox,True,NONE,True
1556844623312,Google,com.google.android.googlequicksearchbox,True,NONE,True
1556844623312,위메프,com.wemakeprice,False,NONE,False
1556844623868,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844624211,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_BACKGROUND,False
1556844624565,안드로이드 시스템,android,True,NONE,False
1556844649443,에브리타임,com.everytime.v2,False,NONE,False
1556844661916,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844663521,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844664051,Smart​Things,com.samsung.android.oneconnect,False,NONE,False
1556844664185,키즈 홈 인스톨러,com.samsung.android.kidsinstaller,True,NONE,True
1556844664279,SoundAlive,com.sec.android.app.soundalive,True,NONE,False
1556844664928,Google Services Framework,com.google.android.gsf,True,NONE,False
1556844737293,Samsung DeX,com.sec.android.desktopmode.uiservice,True,NONE,False
1556844737579,전화,com.samsung.android.incallui,True,MOVE_TO_FOREGROUND,False
1556844737585,전화,com.samsung.android.incallui,True,MOVE_TO_BACKGROUND,False
1556844737654,전화,com.samsung.android.incallui,True,NONE,False
1556844739110,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844739152,전화,com.samsung.android.incallui,True,MOVE_TO_FOREGROUND,False
1556844783571,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844783942,전화,com.samsung.android.incallui,True,MOVE_TO_BACKGROUND,False
1556844784832,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844784872,전화,com.samsung.android.incallui,True,MOVE_TO_FOREGROUND,False
1556844800568,Wi-Fi 사용 팁,com.samsung.android.net.wifi.wifiguider,True,NONE,True
1556844802827,전화,com.samsung.android.incallui,True,MOVE_TO_BACKGROUND,False
1556844802844,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_FOREGROUND,False
1556844802873,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_BACKGROUND,False
1556844810872,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_FOREGROUND,False
1556844811076,안드로이드 시스템,android,True,KEYGUARD_HIDDEN,False
1556844813526,에브리타임,com.everytime.v2,False,NONE,False
1556844818372,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_BACKGROUND,False
1556844818400,KLMS,kr.ac.kaist.coursemos.android,False,NONE,False
1556844818403,KLMS,kr.ac.kaist.coursemos.android,False,MOVE_TO_FOREGROUND,False
