actionType,start_time,end_time
STILL,2019-05-20 13:09:47.396,2019-05-20 14:57:25.136
WALKING,2019-05-20 14:57:25.136,2019-05-20 14:59:21.582
IN_VEHICLE,2019-05-20 14:59:21.582,2019-05-20 14:59:52.862
IN_VEHICLE,2019-05-20 14:59:52.862,2019-05-20 15:10:05.490
WALKING,2019-05-20 15:10:05.490,2019-05-20 15:11:22.784
STILL,2019-05-20 15:11:22.784,2019-05-21 00:00:00.000
STILL,2019-05-21 00:00:00.000,2019-05-21 00:58:44.105
WALKING,2019-05-21 00:58:44.105,2019-05-21 01:01:04.030
IN_VEHICLE,2019-05-21 01:01:04.030,2019-05-21 01:09:03.377
WALKING,2019-05-21 01:09:03.377,2019-05-21 01:10:30.166
STILL,2019-05-21 01:10:30.166,2019-05-21 03:16:18.328
WALKING,2019-05-21 03:16:18.328,2019-05-21 03:17:20.196
STILL,2019-05-21 03:17:20.196,2019-05-21 06:28:24.507
IN_VEHICLE,2019-05-21 06:28:24.507,2019-05-21 06:30:46.235
WALKING,2019-05-21 06:30:46.235,2019-05-21 06:32:12.812
STILL,2019-05-21 06:32:12.812,2019-05-21 09:57:03.757
WALKING,2019-05-21 09:57:03.757,2019-05-21 09:57:49.681
IN_VEHICLE,2019-05-21 09:57:49.681,2019-05-21 10:19:25.573
WALKING,2019-05-21 10:19:25.573,2019-05-21 10:20:44.787
STILL,2019-05-21 10:20:44.787,2019-05-21 11:15:22.753
ON_BICYCLE,2019-05-21 11:15:22.753,2019-05-21 11:17:50.373
STILL,2019-05-21 11:17:50.373,2019-05-21 11:19:47.315
WALKING,2019-05-21 11:19:47.315,2019-05-21 11:21:15.320
ON_BICYCLE,2019-05-21 11:21:15.320,2019-05-21 11:21:54.414
WALKING,2019-05-21 11:21:54.414,2019-05-21 11:27:31.162
STILL,2019-05-21 11:27:31.162,2019-05-21 13:15:27.103
WALKING,2019-05-21 13:15:27.103,2019-05-21 13:20:27.480
IN_VEHICLE,2019-05-21 13:20:27.480,2019-05-21 13:24:46.192
ON_BICYCLE,2019-05-21 13:24:46.192,2019-05-21 13:25:31.522
WALKING,2019-05-21 13:25:31.522,2019-05-21 13:32:52.988
STILL,2019-05-21 13:32:52.988,2019-05-21 15:38:03.313
IN_VEHICLE,2019-05-21 15:38:03.313,2019-05-21 15:46:35.538
STILL,2019-05-21 15:46:35.538,2019-05-22 00:00:00.000
STILL,2019-05-22 00:00:00.000,2019-05-22 00:50:02.423
WALKING,2019-05-22 00:50:02.423,2019-05-22 00:53:19.969
STILL,2019-05-22 00:53:19.969,2019-05-22 00:53:51.022
IN_VEHICLE,2019-05-22 00:53:51.022,2019-05-22 01:03:32.704
WALKING,2019-05-22 01:03:32.704,2019-05-22 01:05:33.022
STILL,2019-05-22 01:05:33.022,2019-05-22 04:19:53.645
IN_VEHICLE,2019-05-22 04:19:53.645,2019-05-22 04:20:15.035
WALKING,2019-05-22 04:20:15.035,2019-05-22 04:20:55.645
STILL,2019-05-22 04:20:55.645,2019-05-22 10:21:23.638
WALKING,2019-05-22 10:21:23.638,2019-05-22 10:24:54.894
STILL,2019-05-22 10:24:54.894,2019-05-22 10:26:59.336
WALKING,2019-05-22 10:26:59.336,2019-05-22 10:27:43.878
STILL,2019-05-22 10:27:43.878,2019-05-22 10:29:39.989
WALKING,2019-05-22 10:29:39.989,2019-05-22 10:31:33.092
IN_VEHICLE,2019-05-22 10:31:33.092,2019-05-22 10:33:07.503
IN_VEHICLE,2019-05-22 10:33:07.503,2019-05-22 10:41:11.967
WALKING,2019-05-22 10:41:11.967,2019-05-22 10:44:16.893
STILL,2019-05-22 10:44:16.893,2019-05-22 10:45:31.025
WALKING,2019-05-22 10:45:31.025,2019-05-22 10:48:20.003
STILL,2019-05-22 10:48:20.003,2019-05-22 17:18:53.857
WALKING,2019-05-22 17:18:53.857,2019-05-22 18:32:41.738
STILL,2019-05-22 18:32:41.738,2019-05-22 18:48:37.981
WALKING,2019-05-22 18:48:37.981,2019-05-22 18:53:03.037
STILL,2019-05-22 18:53:03.037,2019-05-23 00:00:00.000
