actionType,name,packageName,start_time,end_time
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:34:08.806,2019-05-16 00:34:09.436
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:34:09.469,2019-05-16 00:35:29.934
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:35:29.963,2019-05-16 00:35:32.439
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:35:32.470,2019-05-16 00:35:53.490
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:47:56.904,2019-05-16 00:47:59.185
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:47:59.201,2019-05-16 00:48:02.439
STILL,Paco,com.pacoapp.paco,2019-05-16 00:48:02.474,2019-05-16 00:48:06.787
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:48:06.816,2019-05-16 00:48:08.740
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:49:35.132,2019-05-16 00:49:37.767
STILL,Facebook,com.facebook.katana,2019-05-16 00:49:37.804,2019-05-16 00:49:41.616
STILL,Facebook,com.facebook.katana,2019-05-16 00:49:41.637,2019-05-16 00:49:46.257
STILL,Facebook,com.facebook.katana,2019-05-16 00:49:46.285,2019-05-16 00:50:10.465
STILL,Edge screen,com.samsung.android.app.cocktailbarservice,2019-05-16 00:50:10.480,2019-05-16 00:50:11.136
STILL,Edge screen,com.samsung.android.app.cocktailbarservice,2019-05-16 00:50:11.158,2019-05-16 00:50:20.600
STILL,Facebook,com.facebook.katana,2019-05-16 00:50:20.628,2019-05-16 00:50:23.670
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:50:23.724,2019-05-16 00:50:25.105
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:53:35.121,2019-05-16 00:53:40.656
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:40.690,2019-05-16 00:53:42.230
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:42.240,2019-05-16 00:53:43.518
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:43.530,2019-05-16 00:53:46.455
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:46.475,2019-05-16 00:53:47.287
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:47.306,2019-05-16 00:53:48.078
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:48.088,2019-05-16 00:53:53.211
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:53.240,2019-05-16 00:53:54.053
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:54.084,2019-05-16 00:53:57.923
STILL,네이버 웹툰,com.nhn.android.webtoon,2019-05-16 00:53:57.936,2019-05-16 00:54:17.003
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:54:17.013,2019-05-16 00:54:33.137
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:10:46.969,2019-05-16 01:11:01.473
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:12:03.038,2019-05-16 01:12:08.630
STILL,Messenger,com.facebook.orca,2019-05-16 01:28:37.226,2019-05-16 01:28:37.229
STILL,Messenger,com.facebook.orca,2019-05-16 01:28:37.401,2019-05-16 01:28:37.433
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:28:37.538,2019-05-16 01:29:26.708
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:26.767,2019-05-16 01:29:26.835
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:26.878,2019-05-16 01:29:26.916
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:27.013,2019-05-16 01:29:27.232
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:27.374,2019-05-16 01:29:28.512
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:28.532,2019-05-16 01:29:29.747
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:29.762,2019-05-16 01:29:29.802
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:29.852,2019-05-16 01:29:36.616
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:36.630,2019-05-16 01:29:38.018
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:38.030,2019-05-16 01:29:39.822
STILL,카카오톡,com.kakao.talk,2019-05-16 01:29:39.836,2019-05-16 01:30:06.410
STILL,카카오톡,com.kakao.talk,2019-05-16 01:30:06.432,2019-05-16 01:30:06.589
STILL,카카오톡,com.kakao.talk,2019-05-16 01:30:06.598,2019-05-16 01:30:07.232
STILL,카카오톡,com.kakao.talk,2019-05-16 01:30:07.248,2019-05-16 01:30:07.371
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:30:07.403,2019-05-16 01:30:08.860
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:30:55.189,2019-05-16 01:31:11.150
STILL,Google Play 스토어,com.android.vending,2019-05-16 01:31:11.179,2019-05-16 01:31:21.697
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:31:21.707,2019-05-16 01:31:25.442
STILL,계산기,com.sec.android.app.popupcalculator,2019-05-16 01:31:25.471,2019-05-16 01:34:35.625
STILL,계산기,com.sec.android.app.popupcalculator,2019-05-16 01:38:36.384,2019-05-16 01:38:38.228
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:38:38.299,2019-05-16 01:38:41.735
STILL,Facebook,com.facebook.katana,2019-05-16 01:38:41.764,2019-05-16 01:39:02.869
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:02.905,2019-05-16 01:39:03.034
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:03.084,2019-05-16 01:39:03.156
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:03.334,2019-05-16 01:39:03.589
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:03.753,2019-05-16 01:39:04.862
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:04.941,2019-05-16 01:39:06.088
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:06.102,2019-05-16 01:39:22.921
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:22.949,2019-05-16 01:39:24.392
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:24.417,2019-05-16 01:39:24.492
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:24.585,2019-05-16 01:39:27.268
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:27.282,2019-05-16 01:39:29.781
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:29.799,2019-05-16 01:39:57.339
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:57.372,2019-05-16 01:39:59.007
STILL,카카오톡,com.kakao.talk,2019-05-16 01:39:59.025,2019-05-16 01:40:18.375
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:04.242,2019-05-16 01:41:04.293
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:04.320,2019-05-16 01:41:06.479
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:06.514,2019-05-16 01:41:13.865
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:13.887,2019-05-16 01:41:14.635
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:14.660,2019-05-16 01:41:19.084
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:22.339,2019-05-16 01:41:22.400
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:22.542,2019-05-16 01:41:23.734
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:23.764,2019-05-16 01:41:28.458
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:28.471,2019-05-16 01:41:30.390
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:30.401,2019-05-16 01:41:31.060
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:31.070,2019-05-16 01:41:32.886
