timestamp,TotalSteps,StepsToday
1557562702007,76124,0
1557562703004,76124,0
1557562704023,76124,0
1557562705019,76124,0
1557562706029,76124,0
1557562707054,76124,0
1557562708038,76124,0
1557562709047,76124,0
1557562710078,76124,0
1557562711079,76124,0
1557562712085,76124,0
1557562713088,76124,0
1557562714097,76124,0
1557562715095,76124,0
1557562716121,76124,0
1557562717124,76124,0
1557562718149,76124,0
1557562719129,76124,0
1557562720147,76124,0
1557562721159,76124,0
1557562722164,76124,0
1557562723173,76124,0
1557562724187,76124,0
1557562725183,76124,0
1557562726186,76124,0
1557562727224,76124,0
1557562728226,76124,0
1557562729229,76124,0
1557562730219,76124,0
1557562731264,76124,0
1557562732257,76124,0
1557562733273,76124,0
1557562734255,76124,0
1557562735283,76124,0
1557562736283,76124,0
1557562737289,76124,0
1557562738303,76124,0
1557562739303,76124,0
1557562740313,76124,0
1557562741325,76124,0
1557562742339,76124,0
1557562743341,76124,0
1557562744330,76124,0
1557562745348,76124,0
1557562746347,76124,0
1557562747381,76124,0
1557562748358,76124,0
1557562749403,76124,0
1557562750389,76124,0
1557562751452,76124,0
1557562752451,76124,0
1557562753436,76124,0
1557562754413,76124,0
1557562755450,76124,0
1557562756440,76124,0
1557562757448,76124,0
1557562758442,76124,0
1557562759455,76124,0
1557562760464,76124,0
1557562761495,76124,0
1557562762484,76124,0
1557562763491,76124,0
1557562764517,76124,0
1557562765521,76124,0
1557562766537,76124,0
1557562767520,76124,0
1557562768547,76124,0
1557562769546,76124,0
1557562770554,76124,0
1557562771560,76124,0
1557562772576,76124,0
1557562773572,76124,0
1557562774578,76124,0
1557562775631,76124,0
1557562776598,76124,0
1557562777612,76124,0
1557562778606,76124,0
1557562779621,76124,0
1557562780653,76124,0
1557562781630,76124,0
1557562782658,76124,0
1557562783680,76124,0
1557562784682,76124,0
1557562785704,76124,0
1557562786677,76124,0
1557562787680,76124,0
1557562788732,76124,0
1557562789713,76124,0
1557562790725,76124,0
1557562791712,76124,0
1557562792740,76124,0
1557562793740,76124,0
1557562794743,76124,0
1557562795761,76124,0
1557562796751,76124,0
1557562797798,76124,0
1557562798799,76124,0
1557562799809,76124,0
1557562800806,76124,0
1557562801789,76124,0
1557562802800,76124,0
1557562803931,76124,0
1557562804828,76124,0
1557562805833,76124,0
1557562806835,76124,0
1557562807892,76124,0
1557562808928,76124,0
1557562809896,76124,0
1557562810893,76124,0
1557562811933,76124,0
1557562812900,76124,0
1557562813923,76124,0
1557562814895,76124,0
1557562815934,76124,0
1557562816954,76124,0
1557562817940,76124,0
1557562818997,76124,0
1557562819950,76124,0
1557562820947,76124,0
1557562821953,76124,0
1557562823016,76124,0
1557562824054,76124,0
1557562824978,76124,0
1557562825994,76124,0
1557562827026,76124,0
1557562828032,76124,0
1557562829019,76124,0
1557562830028,76124,0
1557562831025,76124,0
1557562832035,76124,0
1557562833059,76124,0
1557562834077,76124,0
1557562835241,76124,0
1557562836076,76124,0
1557562837095,76124,0
1557562838104,76124,0
1557562839132,76124,0
1557562840114,76124,0
1557562841144,76124,0
1557562842128,76124,0
1557562843150,76124,0
1557562844165,76124,0
1557562845173,76124,0
1557562846152,76124,0
1557562847172,76124,0
1557562848186,76124,0
1557562849178,76124,0
1557562850217,76124,0
1557562851191,76124,0
1557562852206,76124,0
1557562853198,76124,0
1557562854331,76124,0
1557562855225,76124,0
1557562856250,76124,0
1557562857261,76124,0
1557562858274,76124,0
1557562859264,76124,0
1557562860257,76124,0
1557562861273,76124,0
1557562862294,76124,0
1557562863293,76124,0
1557562864305,76124,0
1557562865308,76124,0
1557562866334,76124,0
1557562867328,76124,0
1557562868346,76124,0
1557562869345,76124,0
1557562870367,76124,0
1557562871363,76124,0
1557562872368,76124,0
1557562873532,76124,0
1557562874369,76124,0
1557562875404,76124,0
1557562876406,76124,0
1557562877406,76124,0
1557562878409,76124,0
1557562879425,76124,0
1557562880438,76124,0
1557562881482,76124,0
1557562882431,76124,0
1557562883461,76124,0
1557562884469,76124,0
1557562885547,76124,0
1557562886485,76124,0
1557562887496,76124,0
1557562888490,76124,0
1557562889532,76124,0
1557562890507,76124,0
1557562891515,76124,0
1557562892522,76124,0
1557562893535,76124,0
1557562894555,76124,0
1557562895555,76124,0
1557562896602,76124,0
1557562897575,76124,0
1557562898568,76124,0
1557562899567,76124,0
1557562900620,76124,0
1557562901599,76124,0
1557562902605,76124,0
1557562903609,76124,0
1557562904741,76124,0
1557562905650,76124,0
1557562906639,76124,0
1557562907643,76124,0
1557562908718,76124,0
1557562909680,76124,0
1557562910662,76124,0
1557562911669,76124,0
1557562912679,76124,0
1557562913677,76124,0
1557562914697,76124,0
1557562915722,76124,0
1557562916729,76124,0
1557562917734,76124,0
1557562918724,76124,0
1557562919736,76124,0
1557562920736,76124,0
1557562921752,76124,0
1557562922776,76124,0
1557562923787,76124,0
1557562924767,76124,0
1557562925782,76124,0
1557562926778,76124,0
1557562927815,76124,0
1557562928801,76124,0
1557562929819,76124,0
1557562930831,76124,0
1557562931871,76124,0
1557562932851,76124,0
1557562933898,76124,0
1557562934842,76124,0
1557562935894,76124,0
1557562936889,76124,0
1557562937886,76124,0
1557562938888,76124,0
1557562939934,76124,0
1557562940895,76124,0
1557562941921,76124,0
1557562942915,76124,0
1557562943933,76124,0
1557562944939,76124,0
1557562945942,76124,0
1557562947002,76124,0
1557562947958,76124,0
1557562948987,76124,0
1557562949980,76124,0
1557562951009,76124,0
1557562951987,76124,0
1557562953006,76124,0
1557562954019,76124,0
1557562955015,76124,0
1557562956035,76124,0
1557562957042,76124,0
1557562958055,76124,0
1557562959071,76124,0
1557562960048,76124,0
1557562961080,76124,0
1557562962070,76124,0
1557562963130,76124,0
1557562964076,76124,0
1557562965108,76124,0
1557562966114,76124,0
1557562967203,76124,0
1557562968116,76124,0
1557562969148,76124,0
1557562970135,76124,0
1557562971222,76124,0
1557562972184,76124,0
1557562973160,76124,0
1557562974154,76124,0
1557562975167,76124,0
1557562976197,76124,0
1557562977239,76124,0
1557562978192,76124,0
1557562979213,76124,0
1557562980213,76124,0
1557562981222,76124,0
1557562982240,76124,0
1557562983261,76124,0
1557562984234,76124,0
1557562985258,76124,0
1557562986258,76124,0
1557562987279,76124,0
1557562988303,76124,0
1557562989285,76124,0
1557562990320,76124,0
1557562991301,76124,0
1557562992317,76124,0
