timestamp,altitude,longitude,latitude,speed,accuracy
1557827476000,67.7849075573,127.3595504,36.3669174,3.9772348,4.51
1557827477000,67.8101648146,127.3596649,36.3668781,4.034195,6.0
1557827479000,67.5888544161,127.3597588,36.3668455,4.1284037,4.0
1557827481000,67.5514289657,127.3598519,36.3668189,4.1766768,4.0
1557827483000,67.5343490444,127.3599431,36.3667936,4.214191,6.0
1557827485000,67.4491754706,127.3600403,36.3667737,4.239322,6.0
1557827487000,67.348503274,127.3601329,36.3667594,4.229505,4.0
1557827489000,67.2331704598,127.3602192,36.366744,4.162417,4.0
1557827491000,66.9571225387,127.360294,36.3667316,4.0627193,6.0
1557827493000,66.8097663738,127.3603517,36.3667255,3.9303496,5.424
1557827496000,66.7161632979,127.3604315,36.3667199,3.7204978,4.673
1557827498000,65.6721997194,127.3604907,36.3667255,3.5534525,4.771
1557827500000,65.4317709701,127.360545,36.3667402,3.3798134,4.651
1557827502000,65.144537239,127.3605933,36.3667649,3.271823,4.574
1557827504000,64.8876196618,127.3606491,36.3668029,3.2239678,4.755
1557827506000,64.7735124679,127.3607126,36.3668433,3.2462842,4.499
1557827508000,64.3009139276,127.3607992,36.3668862,3.2534425,4.822
1557827510000,64.9923184552,127.3608989,36.3669068,3.3923383,4.471
1557827512000,65.7036081984,127.3610172,36.3669087,3.5835366,4.842
1557827514000,65.717778612,127.3611236,36.3669047,3.7040586,4.557
1557827515000,66.0598539042,127.3611824,36.3668979,3.7685008,4.82
1557827516000,66.2829918756,127.3612423,36.3668895,3.8374138,5.047
1557827518000,65.8258177977,127.3613444,36.3668737,3.952366,4.905
1557827520000,65.8057794132,127.3614969,36.3668478,4.028005,6.0
1557827522000,65.8213354915,127.3615968,36.3668261,4.1228533,6.0
1557827523000,66.0068532676,127.3616515,36.366814,4.1655574,6.0
1557827525000,66.3125242528,127.3617559,36.3667924,4.2431946,6.0
1557827526000,67.4976387052,127.3618117,36.3667967,4.2802196,6.0
1557827528000,67.3671943618,127.3619082,36.3668226,4.344572,6.0
1557827530000,67.4123271563,127.3619846,36.3668822,4.400081,6.0
1557827532000,67.3787643502,127.3620612,36.3669344,4.3987536,6.0
1557827534000,67.4530651918,127.3621446,36.3669812,4.4184813,6.0
1557827536000,67.1154948308,127.3622306,36.3670224,4.429863,6.0
1557827538000,67.0617271288,127.3623218,36.3670594,4.421243,6.0
1557827540000,66.9772402904,127.3624072,36.3671041,4.4112225,6.0
1557827542000,66.6907590203,127.3624742,36.3671507,4.361025,6.0
1557827545000,66.2387433312,127.3625179,36.3671845,3.8154674,5.382
1557827548000,66.0944732742,127.3625612,36.3672177,3.3884244,4.908
1557827550000,65.4222971286,127.3626075,36.3672465,3.2894998,4.638
1557827552000,66.153418287,127.3626714,36.3672768,3.3506951,4.446
1557827554000,65.8671942695,127.3627402,36.3673142,3.446687,4.412
1557827556000,65.1714631574,127.3628171,36.3673513,3.5492024,4.461
1557827558000,65.3088174861,127.3629037,36.36739,3.6619966,4.576
1557827560000,65.2384227143,127.3629888,36.3674289,3.7721462,4.607
1557827562000,64.3536674622,127.3630718,36.3674675,3.895521,4.534
1557827564000,64.3273796557,127.3631529,36.3675086,3.9814787,4.45
1557827565000,64.2188247503,127.3632514,36.3675583,4.017521,6.0
1557827567000,63.9696854479,127.3633391,36.3676046,4.098941,6.0
1557827568000,64.2952681889,127.3633942,36.3676254,4.1674542,6.0
1557827569000,64.302882054,127.36344,36.3676546,4.2370563,6.0
1557827571000,64.2772090993,127.363531,36.3676921,4.3063912,6.0
1557827573000,64.1049102835,127.3636175,36.3677111,4.263208,6.0
1557827575000,64.2474662823,127.3637016,36.3677114,4.190082,6.0
1557827577000,63.6205925958,127.3637836,36.367739,4.1086383,6.0
1557827580000,55.6690738778,127.3638244,36.3677855,3.87613,5.013
1557827583000,55.623604827,127.3638871,36.3678312,3.5971622,4.895
1557827586000,55.5001014673,127.3639348,36.3678735,3.3766353,5.097
1557827589000,54.8112543248,127.363995,36.3679187,3.3111558,5.502
1557827590000,54.3602139777,127.3640399,36.3679525,3.3547668,5.158
1557827592000,54.3787494613,127.3641018,36.368006,3.497444,4.625
1557827594000,54.4354467233,127.3641683,36.3680624,3.6597981,4.638
1557827596000,54.9506833687,127.3642124,36.3681278,3.8135397,4.561
1557827598000,54.7756056539,127.3642301,36.3681944,3.899305,4.533
1557827600000,54.7789982956,127.3642172,36.368256,3.9516168,4.519
1557827602000,54.4234186818,127.364205,36.368314,3.980723,4.516
1557827604000,54.0576943732,127.364225,36.3683787,3.9377043,4.77
1557827606000,54.6345433743,127.3642492,36.3684326,3.8768523,4.616
1557827608000,55.3168908025,127.3642417,36.3684807,3.7676141,4.386
1557827610000,55.5929781802,127.3642321,36.3685339,3.6196465,4.577
1557827612000,55.8253630033,127.3642258,36.3685847,3.4587522,4.478
1557827614000,56.0794537704,127.3642261,36.3686368,3.284669,4.5
1557827616000,56.8435755809,127.3642379,36.36869,3.096745,4.606
1557827618000,56.851971441,127.3642669,36.3687285,2.9390528,4.515
1557827620000,56.9100237691,127.3643095,36.3687592,2.7890635,4.352
1557827623000,57.1987706298,127.3643716,36.3687971,2.7300527,4.986
1557827625000,56.2457912697,127.3644304,36.3688322,2.7869036,5.333
1557827627000,56.5430485627,127.3645152,36.3688668,2.8826556,5.509
1557827629000,56.7730819639,127.3646112,36.3689001,2.9527273,5.525
1557827631000,58.1870532248,127.364707,36.3689313,2.9907262,5.487
1557827633000,58.0684397464,127.3648035,36.3689604,3.0225666,5.787
1557827635000,58.2836173091,127.3649013,36.3689854,3.0492244,5.705
1557827637000,59.346949779,127.3649945,36.3690114,3.0422153,5.662
1557827638000,60.3390460884,127.3650571,36.3690308,3.0620174,4.93
1557827640000,60.6375734278,127.3651458,36.3690594,3.0832522,4.551
1557827642000,61.0189216425,127.3652128,36.3690856,3.038555,4.473
1557827644000,61.1694351194,127.3652669,36.3691104,2.8938632,4.445
1557827647000,62.1477738691,127.3653228,36.369132,1.537145,4.345
1557827650000,62.8736589969,127.3653729,36.3690887,2.0762932,3.603
1557827653000,62.4086203111,127.3654096,36.3690352,2.018996,3.234
1557827656000,62.8104181811,127.3654575,36.3689936,2.015411,3.239
1557827658000,62.9265565027,127.3654966,36.3689609,2.0669823,3.17
1557827661000,62.0919277741,127.3655446,36.3689203,1.9898579,3.192
1557827673000,62.5206720421,127.3655396,36.3688744,0.050279308,3.159
1557827718424,71.6999969482,127.3655169,36.3687497,0.0,15.491
1557827723465,71.6999969482,127.3655534,36.3686856,0.0,13.398
1557827749728,75.3000030518,127.3656154,36.3686904,0.0,15.148
1557827756245,75.3000030518,127.3655522,36.3686698,0.0,18.587
1557827778978,75.1999969482,127.3655262,36.3686533,0.0,15.016
1557828073803,75.1999969482,127.3656013,36.3686523,0.0,14.979
1557828387712,75.3000030518,127.3655694,36.3685858,0.0,27.863
1557828645579,75.1999969482,127.3656182,36.3686845,0.0,15.002
1557828672341,75.3000030518,127.3655645,36.3687756,0.0,18.417
1557828687802,71.5,127.3654918,36.3687656,0.0,12.903
1557828694979,71.5,127.3654358,36.3688068,0.0,11.872
1557828702958,78.8752164831,127.365494,36.368866,2.2179182,9.78
1557828709000,87.5351199027,127.3655267,36.3689124,0.0,12.157
1557828712000,73.9000015259,127.3655922,36.3689373,0.0,15.345
1557828714000,73.9000015259,127.3656388,36.3689809,0.0,21.535
1557828717000,73.9000015259,127.3656734,36.3690239,0.0,23.11
1557828719721,71.5,127.3655586,36.368956,0.0,16.88
1557828721000,71.5,127.3655058,36.3689218,0.0,13.738
1557828727000,97.627158008,127.3655523,36.3689658,1.834384,9.293
1557828729000,94.8269463653,127.3655756,36.3690882,1.5477706,11.546
1557828731000,93.5603084153,127.3655793,36.3691364,0.8791957,9.559
1557828735000,84.8171402146,127.3656476,36.3691709,2.6225445,6.886
1557828737000,81.6347668871,127.3657087,36.3691918,3.056638,5.988
1557828739000,78.5979226385,127.3657951,36.3692379,3.1433966,5.2
1557828741000,75.5541015652,127.365873,36.3692868,3.223968,4.874
1557828743000,71.6251897423,127.3659528,36.3693299,3.3475347,4.639
1557828745000,69.9286396214,127.3660316,36.3693739,3.5053763,4.594
1557828747000,69.4196537115,127.3661198,36.3694226,3.6494718,4.783
1557828748000,69.1122771395,127.3661669,36.369449,3.71593,4.949
1557828750000,68.7128269529,127.3662447,36.3694935,3.830565,4.595
1557828752000,68.2050077987,127.3663243,36.3695435,3.9199276,4.705
1557828754000,67.818896731,127.3664669,36.3696119,4.0034513,6.0
1557828756000,67.8075960933,127.3665572,36.369604,4.0494256,4.0
1557828758000,67.3835829662,127.3666035,36.3695317,4.1123586,4.0
1557828760000,67.5108828213,127.3666536,36.3694607,4.1933117,4.0
1557828762000,67.2764197236,127.3667039,36.369388,4.2879333,4.0
1557828763000,68.6837530819,127.3667435,36.3693518,4.362202,4.0
1557828764000,69.1762956408,127.3667796,36.3693144,4.4394107,4.0
1557828765000,69.2665011568,127.3668116,36.369275,4.506808,4.0
1557828766000,69.3504621909,127.3668453,36.3692365,5.420208,6.0
1557828767000,69.3469874324,127.366879,36.3691964,5.2104945,6.0
1557828769000,69.1115795814,127.366943,36.3691197,5.189364,6.0
1557828770000,68.9407851763,127.3669759,36.3690789,5.135687,6.0
1557828772000,68.0827334819,127.3670306,36.3690026,5.0010796,6.0
1557828773000,68.0258368794,127.3670623,36.3689629,4.9433427,6.0
1557828775000,67.9089825224,127.367123,36.3688897,5.0039234,6.0
1557828776000,68.1683175998,127.3671523,36.3688473,5.303478,6.0
1557828778000,65.7149276454,127.3672121,36.3687665,5.440534,6.0
1557828779000,65.8568196207,127.3672438,36.3687241,5.54469,6.0
1557828780000,65.964590974,127.3672726,36.3686797,5.473953,6.0
1557828781000,66.0598471557,127.3672998,36.3686339,5.717661,6.0
1557828782000,65.8746232456,127.3673276,36.3685863,5.928288,6.0
1557828783000,65.4312029724,127.3673525,36.3685342,6.072618,6.0
1557828784000,65.4562167672,127.367375,36.3684841,5.604161,6.0
1557828785000,64.671020455,127.3673871,36.3684332,5.4504566,6.0
1557828786000,64.6574196341,127.3673915,36.3683875,4.75432,6.0
1557828787000,64.9261527278,127.3673781,36.3683386,4.968806,6.0
1557828788000,65.1995237161,127.367366,36.3682857,5.348579,6.0
1557828789000,65.0857371023,127.3673506,36.3682338,5.302171,6.0
1557828790000,64.4160627024,127.3673464,36.3681861,5.2720118,8.0
1557828791000,64.5471285816,127.3673303,36.3681361,5.5496984,8.0
1557828792000,64.5505891525,127.3673125,36.3680909,5.336299,6.0
1557828794000,64.429435476,127.3672738,36.3680063,4.983928,6.0
1557828796000,64.6112773556,127.3672264,36.3679301,4.6709785,6.0
1557828798000,64.2099573409,127.3671652,36.3678674,4.4206247,6.0
1557828801000,65.3105145945,127.3671024,36.3678429,1.9523406,4.594
1557828807000,64.515169707,127.3670442,36.3678457,0.0,5.065
1557828827000,64.836690688,127.367011,36.367887,0.08808648,5.52
1557828844323,71.0999984741,127.3670085,36.3679623,0.0,15.009
1557828880547,0.0,127.3675312,36.3682596,0.0,1799.999
1557828904525,89.4000015259,127.3670453,36.3680114,0.0,17.667
1557828955722,89.3000030518,127.3669809,36.3680307,0.0,11.934
1557828984514,89.4000015259,127.3669821,36.367949,0.0,17.486
1557829001277,89.4000015259,127.3670106,36.3679086,0.0,20.567
1557829017841,89.4000015259,127.3670173,36.3679669,0.0,25.094
1557829052405,89.5,127.3670062,36.3679532,0.0,17.453
1557829257483,89.4000015259,127.3670626,36.3679509,0.0,24.345
1557829319210,89.3000030518,127.3669094,36.3678536,0.0,14.563
1557829327871,84.8000030518,127.3669088,36.3678537,0.0,12.222
1557829465881,89.4000015259,127.3669762,36.367925,0.0,11.811
1557829470989,89.4000015259,127.367014,36.3679629,0.0,11.36
1557829487700,89.4000015259,127.3670623,36.3680237,0.0,15.983
1557829620814,0.0,127.3655276,36.3686982,0.0,1899.999
