timestamp,CaloriesToday,Calories
1557506628361,91,15410
1557506629397,91,15410
1557506630415,91,15410
1557506631428,91,15410
1557506632521,91,15410
1557506633491,91,15410
1557506634516,91,15410
1557506635535,91,15410
1557506636610,91,15410
1557506637595,91,15410
1557506638637,91,15410
1557506639633,91,15410
1557506640701,91,15410
1557506641691,91,15410
1557506642705,91,15410
1557506643714,91,15410
1557506644786,91,15410
1557506645776,91,15410
1557506646824,91,15410
1557506647850,91,15410
1557506648893,91,15410
1557506649875,91,15410
1557506650897,91,15410
1557506651953,91,15410
1557506652940,91,15410
1557506653973,91,15410
1557506654996,91,15410
1557506656016,91,15410
1557506657069,91,15410
1557506658065,91,15410
1557506659090,91,15410
1557506660132,91,15410
1557506661162,91,15410
1557506662168,91,15410
1557506663208,91,15410
1557506664221,91,15410
1557506665268,91,15410
1557506666273,91,15410
1557506667305,91,15410
1557506668316,91,15410
1557506669366,91,15410
1557506670360,91,15410
1557506671377,91,15410
1557506672423,91,15410
1557506673444,91,15410
1557506674474,91,15410
1557506675568,91,15410
1557506676500,91,15410
1557506677537,91,15410
1557506678565,91,15410
1557506679577,91,15411
1557506680605,91,15411
1557506681659,92,15411
1557506682660,92,15411
1557506683657,92,15411
1557506684704,92,15411
1557506685741,92,15411
1557506686765,92,15411
1557506687763,92,15411
1557506688796,92,15411
1557506689843,92,15411
1557506690846,92,15411
1557506691892,92,15411
1557506692912,92,15411
1557506693976,92,15411
1557506694958,92,15411
1557506695971,92,15411
1557506696978,92,15411
1557506698077,92,15411
1557506699024,92,15411
1557506700080,92,15411
1557506701099,92,15411
1557506702121,92,15411
1557506703147,92,15411
1557506704238,92,15411
1557506705193,92,15411
1557506706241,92,15411
1557506707240,92,15411
1557506708265,92,15411
1557506709283,92,15411
1557506710316,92,15411
1557506711315,92,15411
1557506712362,92,15411
1557506713381,92,15411
1557506714445,92,15411
1557506715436,92,15411
1557506716466,92,15411
1557506717457,92,15411
1557506718728,92,15411
1557506719578,92,15411
1557506720538,92,15411
1557506721565,92,15411
1557506722635,92,15411
1557506723611,92,15411
1557506724647,92,15411
1557506725666,92,15411
1557506726688,92,15411
1557506727724,92,15411
1557506728743,92,15411
1557506729745,92,15411
1557506730789,92,15411
1557506731801,92,15411
1557506732834,92,15411
1557506733845,92,15411
1557506734924,92,15411
1557506735909,92,15411
1557506736914,92,15411
1557506737955,92,15411
1557506739010,92,15411
1557506740022,92,15411
1557506741040,92,15411
1557506742048,92,15411
1557506743129,92,15411
1557506744103,92,15411
1557506745105,92,15411
1557506746148,92,15411
1557506747221,92,15411
1557506748201,92,15412
1557506749235,92,15412
1557506750239,93,15412
1557506751312,93,15412
1557506752275,93,15412
1557506753329,93,15412
1557506754345,93,15412
1557506755393,93,15412
1557506756395,93,15412
1557506757409,93,15412
1557506758440,93,15412
1557506759502,93,15412
1557506760476,93,15412
1557506761500,93,15412
1557506762541,93,15412
1557506763657,93,15412
1557506764598,93,15412
1557506765616,93,15412
1557506766615,93,15412
1557506767689,93,15412
1557506768682,93,15412
1557506769686,93,15412
1557506770717,93,15412
1557506771776,93,15412
1557506772783,93,15412
1557506773786,93,15412
1557506774817,93,15412
1557506775875,93,15412
1557506776860,93,15412
1557506777910,93,15412
1557506778904,93,15412
1557506779954,93,15412
1557506780965,93,15412
1557506782010,93,15412
1557506783014,93,15412
1557506784191,93,15412
1557506785066,93,15412
1557506786105,93,15412
1557506787121,93,15412
1557506788217,93,15412
1557506789144,93,15412
1557506790173,93,15412
1557506791205,93,15412
1557506792255,93,15412
1557506793278,93,15412
1557506794295,93,15412
1557506795312,93,15412
1557506796361,93,15412
1557506797366,93,15412
1557506798374,93,15412
1557506799403,93,15412
1557506800429,93,15412
1557506801460,93,15412
1557506802459,93,15412
1557506803508,93,15412
1557506804600,93,15412
1557506805565,93,15412
1557506806566,93,15412
1557506807596,93,15412
1557506808627,93,15412
1557506809634,93,15412
1557506810690,93,15412
1557506811683,93,15412
1557506812709,93,15412
1557506813742,93,15412
1557506814774,93,15412
1557506815772,93,15412
1557506816809,93,15413
1557506817830,93,15413
1557506818863,94,15413
1557506819881,94,15413
1557506820973,94,15413
1557506821925,94,15413
1557506822943,94,15413
1557506823997,94,15413
1557506825007,94,15413
1557506826097,94,15413
1557506827070,94,15413
1557506828079,94,15413
1557506829092,94,15413
1557506830120,94,15413
1557506831150,94,15413
1557506832173,94,15413
1557506833242,94,15413
1557506834220,94,15413
1557506835229,94,15413
1557506836278,94,15413
1557506837275,94,15413
1557506838333,94,15413
1557506839363,94,15413
1557506840361,94,15413
