timestamp,rxKiloBytes,txKiloBytes,duration
1557584490404,189,46,15000
1557584505439,1263,111,15000
1557584520466,1082,77,15000
1557584535491,210,41,15000
1557584550516,293,53,15000
1557584565534,1023,98,15000
1557584580556,767,38,15000
1557584595573,149,41,15000
1557584610593,1913,130,15000
1557584685647,225,37,15000
1557584745682,329,118,15000
1557584760701,1008,87,15000
1557584775719,202,46,15000
1557584790739,365,50,15000
1557584805761,316,43,15000
1557584820777,3815,157,15000
1557584835792,512,44,15000
1557584850806,1832,73,15000
1557584865825,477,40,15000
1557584880844,1517,52,15000
1557584895864,316,21,15000
1557584910884,4037,172,15000
1557584925906,641,56,15000
1557586204992,56,46,15000
1557586509057,66,31,15000
1557587043987,8,3,15000
1557587786765,13,7,15000
1557589119228,0,0,15000
1557589315583,0,0,15000
1557589330615,4,2,15000
1557589345635,2,1,15000
1557589360652,3,1,15000
1557589375703,10,2,15000
1557589390752,0,0,15000
1557589405777,44,24,15000
1557589420795,94,19,15000
1557590496659,9,6,15000
1557590541724,0,0,15000
1557590556756,19,9,15000
1557597865087,9058,399,15000
1557597880107,555,71,15000
1557599010708,80,18,15000
1557599825337,119,95,15000
1557600166791,42,27,15000
1557600181810,32,23,15000
1557601307384,9,13,15000
1557601322402,7,6,15000
1557601592738,164,75,15000
1557601607754,129,23,15000
1557602718007,1,1,15000
1557602733045,1,1,15000
1557602748075,2,0,15000
1557602763113,5,2,15000
1557602778131,3,3,15000
1557602793149,8,5,15000
1557602808165,52,20,15000
1557602823195,7,14,15000
1557602838265,8,5,15000
1557602853283,0,0,15000
1557602868303,1,6,15000
1557602883345,0,0,15000
1557602898384,0,1,15000
1557602913410,13,19,15000
1557602928447,0,0,15000
1557602943500,1,0,15000
1557602958535,6,1,15000
1557602973568,6,10,15000
1557602988589,0,0,15000
1557603003628,0,0,15000
1557603018676,0,0,15000
1557603033720,127,42,15000
1557603048749,1467,113,15000
1557603063773,2151,96,15000
1557603078793,1197,94,15000
1557603093807,766,161,15000
1557603108823,1958,53,15000
1557603123843,3103,102,15000
1557603138860,2226,31,15000
1557603153878,2475,339,15000
1557603168892,900,33,15000
1557603183900,0,0,15000
1557603198913,6546,320,15000
1557603213931,3407,89,15000
1557603228953,1218,113,15000
1557603243971,2281,9,15000
1557603258992,1185,5,15000
1557603274007,2287,14,15000
1557603289023,1225,13,15000
1557603304040,2538,54,15000
1557603319059,4990,44,15000
1557603334079,3451,11,15000
1557603349097,3140,21,15000
1557603364116,2123,10,15000
1557603379134,2279,14,15000
1557603394156,2314,12,15000
1557603409175,3046,15,15000
1557603424197,2171,13,15000
1557603439214,1241,6,15000
1557603454232,2185,5,15000
1557603469251,1112,126,15000
1557603484271,895,3,15000
1557603499289,1719,11,15000
1557603514307,1191,6,15000
1557603529324,1994,8,15000
1557603544344,1145,5,15000
1557603559364,1412,12,15000
1557603574383,1953,12,15000
1557603589402,1294,7,15000
1557603604421,2332,10,15000
1557603619442,1305,10,15000
1557603634459,2023,10,15000
1557603649474,7286,26,15000
1557603664484,2362,52,15000
1557603679498,1,2,15000
1557603694511,28,11,15000
1557603709530,678,14,15000
1557603724544,7455,29,15000
1557603739564,0,2,15000
1557603754581,1573,70,15000
1557603769600,2795,1284,15000
1557603784620,1489,803,15000
1557603799640,893,42,15000
1557603814658,439,14,15000
1557603829676,875,7,15000
1557603844693,437,4,15000
1557603859713,728,6,15000
1557603874731,347,10,15000
1557603889745,1683,68,15000
1557603904764,3624,74,15000
1557603919778,2206,94,15000
1557603934794,3590,150,15000
1557603949809,1478,59,15000
1557603964855,1892,64,15000
1557603979888,2296,50,15000
1557603994906,2323,71,15000
1557604009923,1172,29,15000
1557604024939,951,10,15000
1557604039955,711,6,15000
1557604054973,3024,358,15000
1557604069989,5067,108,15000
1557604085001,3735,115,15000
1557604100032,2431,92,15000
1557604115051,4657,133,15000
1557604130068,2730,72,15000
1557604145086,2538,37,15000
1557604160100,2301,9,15000
1557604175116,1202,30,15000
1557604190132,1500,18,15000
