timestamp,ssid,bssid,frequency,rssi
1557481877824,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-69
1557481877824,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-73
1557481877824,90:9f:33:d8:61:94,90:9f:33:d8:61:94,2442,-79
1557481877824,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-81
1557481877824,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-81
1557481877824,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-82
1557481877824,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-82
1557481877824,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-82
1557481877824,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-83
1557481877824,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-83
1557481877824,90:9f:33:6a:b7:6e,90:9f:33:6a:b7:6e,2417,-84
1557481877824,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-85
1557481877824,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-85
1557481877824,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-86
1557481877824,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5180,-88
1557481877824,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5180,-88
1557481877824,88:36:6c:87:fc:d0,88:36:6c:87:fc:d0,2467,-88
1557481877824,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5180,-89
1557481877824,00:26:66:c4:7e:0c,00:26:66:c4:7e:0c,2462,-89
1557481877824,00:08:9f:85:ee:44,00:08:9f:85:ee:44,2432,-91
1557482015554,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-56
1557482015554,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-57
1557482015554,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-57
1557482015554,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-64
1557482015554,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-64
1557482015554,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-64
1557482015554,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-65
1557482015554,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-70
1557482015554,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-72
1557482015554,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-75
1557482015554,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-76
1557482015554,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-76
1557482015554,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-79
1557482015554,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-79
1557482015554,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-79
1557482015554,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-80
1557482015554,90:9f:33:8f:d3:ae,90:9f:33:8f:d3:ae,2417,-81
1557482015554,90:9f:33:d8:61:94,90:9f:33:d8:61:94,2442,-83
1557482015554,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-83
1557482015554,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-83
1557482015554,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-84
1557482015554,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-84
1557482015554,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-85
1557482015554,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-85
1557482015554,00:26:66:c4:7e:0c,00:26:66:c4:7e:0c,2462,-89
1557482023573,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-57
1557482023573,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-58
1557482023573,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-58
1557482023573,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-64
1557482023573,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-64
1557482023573,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-64
1557482023573,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-65
1557482023573,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-70
